ZipCode,MedianIncome
6443,F: 100-120k
6447,F: 100-120k
6450,C: 40-60k
6451,C: 40-60k
6455,F: 100-120k
6457,D: 60-80k
6460,D: 60-80k
1522,F: 100-120k
6461,E: 80-100k
6468,F: 100-120k
6469,E: 80-100k
6470,F: 100-120k
6471,E: 80-100k
6472,E: 80-100k
6473,E: 80-100k
6475,D: 60-80k
6477,F: 100-120k
1523,E: 80-100k
6478,E: 80-100k
6479,E: 80-100k
6480,E: 80-100k
6481,D: 60-80k
6482,F: 100-120k
6483,D: 60-80k
6484,E: 80-100k
6488,E: 80-100k
6489,E: 80-100k
6492,D: 60-80k
1524,D: 60-80k
6498,D: 60-80k
6510,C: 40-60k
6511,B: 20-40k
6512,D: 60-80k
6513,B: 20-40k
6514,D: 60-80k
6515,C: 40-60k
6516,C: 40-60k
6517,D: 60-80k
6518,D: 60-80k
6519,B: 20-40k
6524,E: 80-100k
6525,G: 120-140k
6604,B: 20-40k
6605,C: 40-60k
6606,C: 40-60k
6607,B: 20-40k
6608,B: 20-40k
6610,C: 40-60k
6611,F: 100-120k
1527,D: 60-80k
6612,G: 120-140k
6614,D: 60-80k
6615,C: 40-60k
6702,A: 0-20k
6704,B: 20-40k
6705,C: 40-60k
6706,B: 20-40k
6708,C: 40-60k
6710,B: 20-40k
6712,F: 100-120k
1529,E: 80-100k
6716,E: 80-100k
6750,D: 60-80k
6751,E: 80-100k
6752,E: 80-100k
6754,E: 80-100k
6755,E: 80-100k
6756,E: 80-100k
6757,C: 40-60k
6758,E: 80-100k
6759,D: 60-80k
1531,D: 60-80k
6762,E: 80-100k
6763,D: 60-80k
6770,C: 40-60k
6776,D: 60-80k
6777,D: 60-80k
6778,E: 80-100k
6779,D: 60-80k
6782,D: 60-80k
6783,E: 80-100k
6784,F: 100-120k
1532,F: 100-120k
6785,E: 80-100k
6786,D: 60-80k
6787,D: 60-80k
6790,C: 40-60k
6791,E: 80-100k
6793,E: 80-100k
6794,E: 80-100k
6795,E: 80-100k
6796,D: 60-80k
6798,E: 80-100k
1031,B: 20-40k
1534,E: 80-100k
6801,E: 80-100k
6804,F: 100-120k
6807,H: 140-160k
6810,C: 40-60k
6811,E: 80-100k
6812,F: 100-120k
6820,J: 200-220k
6824,G: 120-140k
6825,F: 100-120k
6830,F: 100-120k
1535,D: 60-80k
6831,H: 140-160k
6840,I: 160-180k
6850,E: 80-100k
6851,E: 80-100k
6853,G: 120-140k
6854,C: 40-60k
6855,E: 80-100k
6870,J: 180-200k
6877,H: 140-160k
1536,E: 80-100k
6878,I: 160-180k
6880,I: 160-180k
6883,J: 200-220k
6890,I: 160-180k
6896,G: 120-140k
6897,I: 160-180k
6901,D: 60-80k
6902,D: 60-80k
6903,J: 180-200k
6905,F: 100-120k
1537,D: 60-80k
6906,D: 60-80k
6907,E: 80-100k
7001,D: 60-80k
7002,C: 40-60k
7003,D: 60-80k
7004,F: 100-120k
7005,F: 100-120k
7006,F: 100-120k
7008,D: 60-80k
7009,F: 100-120k
1540,D: 60-80k
7010,D: 60-80k
7011,C: 40-60k
7012,D: 60-80k
7013,E: 80-100k
7014,E: 80-100k
7016,F: 100-120k
7017,B: 20-40k
7018,B: 20-40k
7020,F: 100-120k
7021,I: 160-180k
1541,F: 100-120k
7022,C: 40-60k
7023,F: 100-120k
7024,D: 60-80k
7026,C: 40-60k
7027,D: 60-80k
7028,I: 160-180k
7029,C: 40-60k
7030,F: 100-120k
7031,D: 60-80k
7032,D: 60-80k
1542,E: 80-100k
7033,E: 80-100k
7034,E: 80-100k
7035,E: 80-100k
7036,D: 60-80k
7039,H: 140-160k
7040,F: 100-120k
7041,F: 100-120k
7042,E: 80-100k
7043,I: 160-180k
7044,F: 100-120k
1543,E: 80-100k
7045,G: 120-140k
7046,I: 160-180k
7047,C: 40-60k
7050,B: 20-40k
7052,E: 80-100k
7054,E: 80-100k
7055,B: 20-40k
7057,C: 40-60k
7058,F: 100-120k
7059,H: 140-160k
1545,E: 80-100k
7060,C: 40-60k
7062,D: 60-80k
7063,D: 60-80k
7064,E: 80-100k
7065,D: 60-80k
7066,E: 80-100k
7067,E: 80-100k
7068,F: 100-120k
7069,G: 120-140k
7070,E: 80-100k
1550,C: 40-60k
7071,D: 60-80k
7072,D: 60-80k
7073,D: 60-80k
7074,C: 40-60k
7075,E: 80-100k
7076,F: 100-120k
7077,D: 60-80k
7078,L: 240-260k
7079,F: 100-120k
7080,E: 80-100k
1032,D: 60-80k
1560,D: 60-80k
7081,E: 80-100k
7082,G: 120-140k
7083,D: 60-80k
7086,D: 60-80k
7087,C: 40-60k
7088,C: 40-60k
7090,H: 140-160k
7092,G: 120-140k
7093,C: 40-60k
7094,E: 80-100k
1561,D: 60-80k
7095,D: 60-80k
7102,B: 20-40k
7103,B: 20-40k
7104,B: 20-40k
7105,C: 40-60k
7106,B: 20-40k
7107,B: 20-40k
7108,B: 20-40k
7109,D: 60-80k
7110,E: 80-100k
1562,D: 60-80k
7111,B: 20-40k
7112,B: 20-40k
7114,B: 20-40k
7201,C: 40-60k
7202,C: 40-60k
7203,C: 40-60k
7204,D: 60-80k
7205,C: 40-60k
7206,C: 40-60k
7208,C: 40-60k
1564,E: 80-100k
7302,F: 100-120k
7304,C: 40-60k
7305,C: 40-60k
7306,C: 40-60k
7307,C: 40-60k
7310,G: 120-140k
7311,J: 180-200k
7401,H: 140-160k
7403,D: 60-80k
7405,F: 100-120k
1566,E: 80-100k
7407,D: 60-80k
7410,E: 80-100k
7416,D: 60-80k
7417,H: 140-160k
7418,E: 80-100k
7419,E: 80-100k
7420,D: 60-80k
7421,E: 80-100k
7422,E: 80-100k
7423,I: 160-180k
1568,F: 100-120k
7424,D: 60-80k
7430,F: 100-120k
7432,E: 80-100k
7435,F: 100-120k
7436,F: 100-120k
7438,E: 80-100k
7439,D: 60-80k
7440,E: 80-100k
7442,E: 80-100k
7444,E: 80-100k
1569,E: 80-100k
7446,G: 120-140k
7450,H: 140-160k
7452,H: 140-160k
7456,F: 100-120k
7457,E: 80-100k
7458,H: 140-160k
7460,E: 80-100k
7461,E: 80-100k
7462,E: 80-100k
7463,F: 100-120k
1570,C: 40-60k
7465,E: 80-100k
7470,F: 100-120k
7480,F: 100-120k
7481,G: 120-140k
7501,B: 20-40k
7502,C: 40-60k
7503,B: 20-40k
7504,C: 40-60k
7505,B: 20-40k
1571,D: 60-80k
7506,E: 80-100k
7508,D: 60-80k
7512,E: 80-100k
7513,B: 20-40k
7514,B: 20-40k
7522,B: 20-40k
7524,B: 20-40k
7601,C: 40-60k
7603,D: 60-80k
7604,E: 80-100k
1581,F: 100-120k
7605,E: 80-100k
7606,D: 60-80k
7607,E: 80-100k
7608,B: 20-40k
7620,F: 100-120k
7621,D: 60-80k
7624,G: 120-140k
7626,F: 100-120k
7627,I: 160-180k
7628,E: 80-100k
1033,E: 80-100k
1583,D: 60-80k
7630,F: 100-120k
7631,D: 60-80k
